key,value
app.title,Kế Hoạch Tài Chính
app.subtitle,Theo dõi tài chính hàng năm của bạn một cách chính xác.
nav.plan,Kế Hoạch
nav.dashboard,Bảng Tin
nav.reports,Báo Cáo
nav.admin,Quản trị
heading.yearly_income,Thu Nhập Năm
heading.yearly_expenses,Chi Tiêu Năm
heading.net_savings,Tiết Kiệm Ròng
heading.planning_year,Xem tại năm
action.start_ai,Bắt đầu với AI
action.import,Nhập
action.export,Xuất
action.export_enc,Xuất (Mã Hóa)
action.clear_data,Xóa Dữ Liệu
action.sample_data,Dữ liệu mẫu
modal.ai.title,Bắt đầu với AI
modal.ai.subtitle,Mô tả tình hình tài chính của bạn
modal.ai.tip,Gợi ý:
modal.ai.tip_content,"Hãy cụ thể. Ví dụ: ""Tôi có lương 50 triệu/tháng. Tiền thuê nhà 12 triệu. Tôi chi khoảng 4 triệu tiền ăn và 2 triệu đi lại. Tôi muốn tiết kiệm mua xe trong 2 năm tới."""
modal.ai.placeholder,Nhập hướng dẫn của bạn tại đây...
modal.ai.discard.title,Hủy thay đổi?
modal.ai.discard.message,Bạn có hướng dẫn chưa lưu. Bạn có chắc chắn muốn đóng không?
modal.ai.keep_editing,Tiếp tục sửa
modal.ai.discard,Hủy bỏ
modal.ai.completed,Hoàn tất!
modal.ai.success_message,Kế hoạch tài chính của bạn đã được tạo và tải thành công vào ứng dụng.
modal.ai.close,Đóng
modal.ai.cancel,Hủy
modal.ai.generate,Tạo Kế Hoạch
modal.ai.generating,Đang Tạo Kế Hoạch...
modal.ai.generating_desc,AI đang phân tích hướng dẫn và xây dựng kế hoạch tài chính của bạn. Quá trình này có thể mất vài giây.
modal.warning.title,Ghi Đè Dữ Liệu?
modal.warning.subtitle,Bạn đang có dữ liệu tài chính.
modal.warning.message,Hành động này sẽ THAY THẾ HOÀN TOÀN kế hoạch hiện tại của bạn bằng dữ liệu mới. Hành động này là vĩnh viễn và không thể hoàn tác.
modal.warning.override,Ghi Đè Dữ Liệu
modal.warning.cancel,Hủy
months.january,Tháng 1
months.february,Tháng 2
months.march,Tháng 3
months.april,Tháng 4
months.may,Tháng 5
months.june,Tháng 6
months.july,Tháng 7
months.august,Tháng 8
months.september,Tháng 9
months.october,Tháng 10
months.november,Tháng 11
months.december,Tháng 12
common.income,Thu nhập
common.expense,Chi tiêu
common.cancel,Hủy
common.balance,Số dư
common.prev_balance,Số dư trước
common.series,Chuỗi
common.add_item,Thêm Mục Mới
modal.create.title,Tạo Mục Mới
form.name,Tên
form.amount,Số tiền
form.description,Mô tả
form.recurring,Mục lặp lại?
form.recurring.forever,Mãi mãi
form.recurring.until,Đến ngày
form.create,Tạo Mục
form.cancel,Hủy
tooltip.priority.custom,Ưu tiên Tùy chỉnh
tooltip.priority.global,Ưu tiên Chung
tooltip.sort.custom,Sắp xếp Tùy chỉnh
tooltip.sort.global,Sắp xếp Chung
modal.function.title,Chức năng
modal.plan_function.title,Chức năng Kế hoạch
modal.plan_function.group.import_export,Nhập / Xuất
modal.plan_function.group.view_mode,Chế độ xem
action.view_vertical,Xem Dọc
action.view_horizontal,Xem Ngang
modal.clear.title,Xóa Tất Cả Dữ Liệu
modal.clear.warning,Hành động này sẽ xóa vĩnh viễn tất cả các mục tài chính, danh mục và cài đặt của bạn. Điều này không thể hoàn tác.
modal.clear.recommendation,Hành động Khuyên dùng
modal.clear.backup_action,Sao lưu Dữ liệu Trước
modal.clear.backup_desc,Xuất ra tệp .fma
modal.clear.confirm,Xóa Mọi Thứ
modal.clear.deleting,Đang xóa dữ liệu...
modal.clear.deleting_desc,Dữ liệu của bạn đang được chuẩn bị để xóa vĩnh viễn.
modal.clear.abort,Hủy Xóa
modal.import.title,Nhập Kế Hoạch Tài Chính
modal.import.alert_invalid,Vui lòng thả tệp .fma hoặc .efma hợp lệ.
modal.import.error_generic,Không thể nhập tệp.
modal.import.success_title,Nhập Thành Công!
modal.import.success_desc,Dữ liệu của bạn đã được đồng bộ hóa hoàn hảo.
modal.import.auto_close,Tự động đóng trong giây
modal.import.failed_title,Nhập Thất Bại
modal.import.invalid_format,Định dạng tệp không hợp lệ.
modal.import.drag_drop,Kéo và thả tệp .fma hoặc .efma của bạn vào đây
modal.import.drag_desc,Dữ liệu tài chính của bạn sẽ được tải từ tệp này.
modal.import.upload_btn,Tải lên từ Máy tính
modal.import.ready,Tệp đã sẵn sàng để nhập
modal.import.choose_different,Chọn Tệp Khác
modal.import.start,Bắt đầu Nhập
modal.import.warning_note,Việc nhập sẽ thay thế dữ liệu hiện tại của bạn cho toàn bộ ứng dụng. Hãy chắc chắn bạn đã xuất mọi dữ liệu quan trọng trước.
common.try_again,Thử Lại
common.or,HOẶC
common.done,Xong
common.note,Lưu ý
currency.vnd,Việt Nam Đồng
currency.usd,Đô la Mỹ
currency.eur,Euro
